{2,2,2,0,0,58,59,62,113,114,115,116,117,118,70,71,62,62,62,62,62,62,60,12,12,2,2,2,2,2,2,0}
{2,3,2,0,0,61,59,62,125,126,127,128,129,130,84,85,62,62,62,62,62,62,63,12,12,34,2,2,2,3,2,0}
{2,2,2,0,0,58,59,62,136,137,138,139,140,141,98,99,102,62,62,62,62,62,60,12,12,2,2,3,2,2,2,0}
{159,159,159,207,0,61,59,62,62,146,59,59,59,59,109,110,59,62,62,62,62,62,63,12,208,159,159,159,159,159,159,207}
{0,1,2,2,2,219,59,62,62,62,62,62,62,62,146,59,59,62,62,62,62,62,220,2,2,2,11,12,163,159,159,159}
{0,17,18,19,19,224,59,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,225,18,18,19,28,12,12,3,2,2}
{0,33,2,2,2,231,59,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,232,2,2,2,41,12,12,2,2,2}
{0,45,18,19,18,233,59,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,234,19,19,18,53,12,12,2,2,2}
{0,58,59,59,59,59,59,62,62,62,62,62,70,72,73,71,62,62,62,62,62,62,146,59,59,59,60,12,12,2,2,2}
{0,61,59,62,62,62,62,62,62,62,62,62,84,86,87,85,62,62,62,62,62,62,62,62,62,62,63,12,12,34,2,2}
{0,58,59,62,62,62,62,62,62,62,62,62,98,100,101,99,102,62,62,62,62,62,62,62,62,62,60,12,12,2,2,3}
{0,61,59,62,62,62,62,62,62,62,62,62,109,111,112,110,59,62,62,62,62,62,62,163,159,159,159,164,208,159,159,159}
{0,58,59,62,70,72,73,71,62,62,62,62,146,59,59,59,59,62,62,62,62,62,166,12,12,2,2,2,2,2,2,0}
{0,61,59,62,84,86,87,85,62,62,62,62,62,62,62,62,62,62,62,62,62,62,168,12,12,34,2,2,2,3,2,0}
{0,58,59,62,98,100,101,99,102,62,62,62,62,62,62,62,62,62,62,62,62,62,170,12,12,2,2,3,2,2,2,0}
{0,61,59,62,109,111,112,110,59,62,62,62,62,62,62,62,62,62,62,62,62,62,175,12,208,159,159,159,159,159,159,207}
{0,58,59,62,146,59,59,59,59,62,62,62,70,72,73,71,70,72,73,71,62,62,220,2,2,2,11,12,163,159,159,159}
{0,61,59,62,62,62,62,62,62,62,62,62,84,86,87,85,84,86,87,85,62,62,225,18,18,19,28,12,12,3,2,2}
{0,58,59,62,62,62,62,62,62,62,62,62,98,100,101,99,98,100,101,99,102,62,232,2,2,2,41,12,12,2,2,2}
{158,159,159,159,160,62,62,62,62,62,62,62,109,111,112,110,109,111,112,110,59,62,234,19,19,18,53,12,12,2,2,2}
{159,159,159,160,0,165,62,62,62,62,62,62,146,59,59,59,59,59,59,59,59,62,146,59,59,59,60,12,12,2,2,2}
{2,2,2,0,0,167,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63,12,12,34,2,2}
{2,2,2,0,0,169,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,60,12,12,2,2,3}
{2,35,2,0,0,171,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63,12,208,159,159,159}
