179,221,222,227,229,228,228,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,266,260
179,226,222,227,228,227,227,228,228,227,227,228,228,227,227,228,228,227,227,228,228,227,227,228,228,227,227,228,228,227,266,260
179,221,222,228,228,228,227,227,228,228,227,227,228,228,227,227,228,228,227,227,228,228,227,227,228,228,227,227,229,228,266,260
179,226,222,229,227,228,228,228,227,228,228,228,227,228,228,228,227,228,228,228,227,228,228,228,227,228,228,228,229,229,266,260
179,221,222,227,272,273,274,275,229,229,228,228,229,228,228,229,229,228,228,229,272,273,274,275,229,229,228,228,229,228,266,260
179,226,222,227,276,277,278,279,228,228,227,227,228,227,227,228,228,227,227,228,276,277,278,279,228,228,227,227,228,227,266,260
179,221,222,228,276,277,278,279,270,229,228,228,228,228,227,227,228,228,227,227,276,277,278,279,270,229,228,228,229,228,266,260
179,226,222,229,276,277,278,279,222,229,229,229,227,228,228,228,227,228,228,228,276,277,278,279,222,229,229,229,229,229,266,260
181,235,222,228,280,281,282,283,222,228,228,229,272,273,274,275,229,229,228,228,280,281,282,283,222,228,228,229,229,228,266,260
191,238,222,227,287,132,132,288,222,227,227,228,276,277,278,279,228,228,227,227,287,132,132,288,222,227,227,228,228,227,266,260
181,241,222,228,292,132,132,293,222,227,228,229,276,277,278,279,270,229,228,228,292,132,132,293,222,227,228,229,229,228,266,260
190,246,222,229,294,295,296,297,222,228,229,229,276,277,278,279,222,229,229,229,294,295,296,297,222,228,229,229,229,229,266,260
222,222,222,228,251,222,222,222,222,229,228,229,280,281,282,283,222,228,228,229,251,222,222,222,222,229,228,229,229,228,266,260
229,228,228,228,228,228,227,227,227,228,227,228,287,132,132,288,222,227,227,228,228,228,227,227,227,228,227,228,228,227,266,260
228,227,227,227,229,229,228,228,229,228,227,227,292,132,132,293,222,227,228,229,229,229,228,228,229,228,227,227,229,228,266,260
229,228,228,228,228,229,229,229,229,229,228,228,294,295,296,297,222,228,229,229,228,229,229,229,229,229,228,228,229,229,266,260
229,228,228,228,229,228,228,229,229,228,228,229,251,222,222,222,222,229,228,229,229,228,228,229,229,228,228,229,229,228,266,260
228,227,227,227,228,227,227,228,228,227,227,228,228,228,227,227,227,228,227,228,228,227,227,228,228,227,227,228,228,227,266,260
229,228,227,228,228,228,227,227,228,228,227,227,229,229,228,228,229,228,227,227,228,228,227,227,228,228,227,227,229,228,266,260
178,229,228,229,227,228,228,228,227,228,228,228,228,229,229,229,229,229,228,228,227,228,228,228,227,228,228,228,229,229,266,260
179,304,229,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,266,260
179,305,228,229,228,227,227,228,228,227,227,228,228,227,227,228,228,227,227,228,228,227,227,228,228,227,227,228,228,227,266,260
179,306,228,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,228,229,229,228,266,260
307,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
